Kannada,English
ಆದರ್ಶ,Ideal
ಅಭಿವೃದ್ಧಿ,Development
ಸಾಧನೆ,Achievement
ಸಂಸ್ಕೃತಿ,Culture
ಪರಿಶೀಲನೆ,Examination
ಅನ್ವಯ,Application
ವಿವೇಕ,Wisdom
ಸಂಘಟನೆ,Organization
ಆರ್ಥಿಕ,Economic
ಪ್ರಜಾಸತ್ತಾತ್ಮಕ,Democratic
ನೈತಿಕತೆ,Morality
ಜ್ಞಾನ,Knowledge
ವಿಜ್ಞಾನ,Science
ತತ್ತ್ವ,Philosophy
ಪ್ರಜ್ಞೆ,Awareness
ಅಭಿಪ್ರಾಯ,Opinion
ನಿರೀಕ್ಷೆ,Expectation
ಪ್ರಯತ್ನ,Effort
ಅವಕಾಶ,Opportunity
ಸಂಕಷ್ಟ,Crisis
ನಿರ್ಣಯ,Decision
ನೀತಿನಿಯಮ,Policy
ಆವಿಷ್ಕಾರ,Invention
ಪರಿಣಾಮ,Effect
ಸಂಶೋಧನೆ,Research
ವ್ಯವಸ್ಥೆ,System
ಸಿದ್ಧಾಂತ,Theory
ಪ್ರಗತಿ,Progress
ದೃಷ್ಟಿಕೋನ,Viewpoint
ಸಂಬಂಧ,Relation
ಸಂಸ್ಥೆ,Institution
ರಾಜಕೀಯ,Politics
ಪರಿಸರ,Environment
ಅಭಿಯಾನ,Campaign
ಅನುವಾದ,Translation
ಅನುಭವ,Experience
ಪ್ರತಿಭೆ,Talent
ನಾಯಕರ,Leadership
ಅನುಕರಣ,Imitation
ಸಂವಾದ,Dialogue
ಪ್ರತಿನಿಧಿ,Representative
ಆತ್ಮವಿಶ್ವಾಸ,Confidence
ಅಧ್ಯಯನ,Study
ಪರಿಣತಿ,Expertise
ಅನಿಶ್ಚಿತತೆ,Uncertainty
ಪ್ರತಿಕ್ರಿಯೆ,Reaction
ಆವಶ್ಯಕತೆ,Requirement
ವಿಶ್ಲೇಷಣೆ,Analysis
ನೀತಿ,Ethics
ಅನುಮಾನ,Doubt
